resultado,is_team_a_host,is_team_b_host,rank_a,valor_a,vitorias_4a_a,rank_b,valor_b,vitorias_4a_b,gols_elite_a,ast_elite_a,minutos_elite_a,gols_elite_b,ast_elite_b,minutos_elite_b,region_name_a_Caribbean,region_name_a_Central America,region_name_a_East Asia,region_name_a_Europe,"region_name_a_Europe, Asia",region_name_a_Middle East,region_name_a_North America,region_name_a_Oceania,region_name_a_South America,region_name_b_Caribbean,region_name_b_Central America,region_name_b_East Asia,region_name_b_Europe,"region_name_b_Europe, Asia",region_name_b_Middle East,region_name_b_North America,region_name_b_Oceania,region_name_b_South America,confederation_name_a_Confederation of African Football,"confederation_name_a_Confederation of North, Central American and Caribbean Association Football",confederation_name_a_Oceania Football Confederation,confederation_name_a_South American Football Confederation,confederation_name_a_Union of European Football Associations,confederation_name_b_Confederation of African Football,"confederation_name_b_Confederation of North, Central American and Caribbean Association Football",confederation_name_b_Oceania Football Confederation,confederation_name_b_South American Football Confederation,confederation_name_b_Union of European Football Associations,Round_Group stage,Round_Quarter-finals,Round_Round of 16,Round_Semi-finals,Round_Third-place match
1.0,0,0,3.0,645200000.0,33.0,4.0,1030000000.0,31.0,180.0,111.0,112033.0,552.0,415.0,374493.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2.0,0,0,12.0,377000000.0,24.0,22.0,241100000.0,32.0,,,,73.0,61.0,43098.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
2.0,0,0,4.0,1030000000.0,31.0,22.0,241100000.0,32.0,552.0,415.0,374493.0,73.0,61.0,43098.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
2.0,0,0,3.0,645200000.0,33.0,12.0,377000000.0,24.0,180.0,111.0,112033.0,,,,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
2.0,0,0,22.0,241100000.0,32.0,9.0,937000000.0,30.0,73.0,61.0,43098.0,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
0.0,0,0,5.0,1260000000.0,33.0,4.0,1030000000.0,31.0,374.0,249.0,233879.0,552.0,415.0,374493.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
1.0,0,0,12.0,377000000.0,24.0,1.0,1140000000.0,37.0,,,,233.0,114.0,122674.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
1.0,0,0,8.0,587250000.0,30.0,3.0,645200000.0,33.0,,,,180.0,111.0,112033.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
1.0,0,0,22.0,241100000.0,32.0,7.0,877000000.0,31.0,73.0,61.0,43098.0,557.0,479.0,505019.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
2.0,0,0,9.0,937000000.0,30.0,15.0,281000000.0,22.0,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
