player_id,family_name,given_name,birth_date,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments
P-09248,Abreu,Sebastián,1976-10-17,0,0,0,1,2,"2002, 2010"
P-07815,Acuña,Roberto,1972-03-25,0,0,1,0,3,"1998, 2002, 2006"
P-03688,Adamec,Jozef,1942-02-26,0,0,0,1,2,"1962, 1970"
P-07662,Adepoju,Mutiu,1970-12-22,0,0,1,0,3,"1994, 1998, 2002"
P-02686,Afolabi,Rabiu,1980-04-18,0,1,0,0,2,"2002, 2010"
P-05721,Afonin,Valentin,1939-12-22,0,1,1,0,2,"1966, 1970"
P-01157,Agüero,Sergio,1988-06-02,0,0,0,1,3,"2010, 2014, 2018"
P-07103,Ahn,Jung-hwan,1976-01-27,0,0,0,1,3,"2002, 2006, 2010"
P-04050,Al-Deayea,Mohamed,1972-08-02,1,0,0,0,4,"1994, 1998, 2002, 2006"
P-05688,Al-Dokhi,Ahmed,1976-10-25,0,1,0,0,3,"1998, 2002, 2006"
P-06162,Al-Jaber,Sami,1972-12-11,0,0,0,1,4,"1994, 1998, 2002, 2006"
P-06058,Al-Temyat,Nawaf,1976-06-28,0,0,1,0,3,"1998, 2002, 2006"
P-07911,Aladzhov,Stefan,1947-10-18,0,1,0,0,2,"1970, 1974"
P-01240,Albertosi,Enrico,1939-11-02,1,0,0,0,4,"1962, 1966, 1970, 1974"
P-01321,Aldair,not applicable,1965-11-30,0,1,0,0,3,"1990, 1994, 1998"
P-08532,Alkorta,Rafael,1968-09-16,0,1,0,0,3,"1990, 1994, 1998"
P-03244,Alonso,Xabi,1981-11-25,0,0,1,0,3,"2006, 2010, 2014"
P-03645,Alves,Bruno,1981-11-27,0,1,0,0,3,"2010, 2014, 2018"
P-08108,Andersson,Patrik,1971-08-18,0,1,0,0,2,"1994, 2002"
P-09805,Antenen,Charles,1929-11-03,0,0,0,1,3,"1950, 1954, 1962"
P-01214,Antônio,Marco,1951-02-06,0,1,0,0,2,"1970, 1974"
P-08251,Arellano,Jesús,1973-05-08,0,0,1,1,3,"1998, 2002, 2006"
P-06361,Asparuhov,Georgi,1943-05-04,0,0,1,1,3,"1962, 1966, 1970"
P-09897,Ayala,Roberto,1973-04-14,0,1,0,0,3,"1998, 2002, 2006"
P-07550,Ayoví,Walter,1979-08-11,0,1,0,0,2,"2002, 2014"
P-07912,Azofeifa,Randall,1984-12-30,0,0,1,0,2,"2006, 2018"
P-04809,Badjou,Arnold,1909-06-26,1,0,0,0,3,"1930, 1934, 1938"
P-09078,Baggio,Roberto,1967-02-18,0,0,0,1,3,"1990, 1994, 1998"
P-07491,Balbo,Abel,1966-06-01,0,0,0,1,3,"1990, 1994, 1998"
P-03599,Balboa,Marcelo,1967-08-08,0,1,0,0,3,"1990, 1994, 1998"
P-05909,Ball,Alan,1945-05-12,0,0,1,0,2,"1966, 1970"
P-02090,Baltazar,not applicable,1926-01-14,0,0,0,1,2,"1950, 1954"
P-09652,Banks,Gordon,1937-12-30,1,0,0,0,2,"1966, 1970"
P-02761,Baresi,Franco,1960-05-08,0,1,0,0,3,"1982, 1990, 1994"
P-00432,Barnetta,Tranquillo,1985-05-22,0,0,1,0,3,"2006, 2010, 2014"
P-00975,Barry,Boubacar,1979-12-30,1,0,0,0,3,"2006, 2010, 2014"
P-06099,Barthez,Fabien,1971-06-28,1,0,0,0,3,"1998, 2002, 2006"
P-03776,Barzagli,Andrea,1981-05-08,0,1,0,0,2,"2006, 2014"
P-05392,Batistuta,Gabriel,1969-02-01,0,0,0,1,3,"1994, 1998, 2002"
P-07765,Battiston,Patrick,1957-03-12,0,1,0,0,3,"1978, 1982, 1986"
P-04726,Bauer,not applicable,1925-11-21,0,0,1,0,2,"1950, 1954"
P-00735,Beara,Vladimir,1928-11-02,1,0,0,0,3,"1950, 1954, 1958"
P-05014,Beasley,DaMarcus,1982-05-24,0,1,1,0,4,"2002, 2006, 2010, 2014"
P-05954,Bebeto,not applicable,1964-02-16,0,0,0,1,3,"1990, 1994, 1998"
P-04356,Beckenbauer,Franz,1945-09-11,0,1,1,0,3,"1966, 1970, 1974"
P-00614,Beckham,David,1975-05-02,0,0,1,0,3,"1998, 2002, 2006"
P-01705,Behrami,Valon,1985-04-19,0,0,1,0,4,"2006, 2010, 2014, 2018"
P-02715,Bell,Joseph-Antoine,1954-10-08,1,0,0,0,3,"1982, 1990, 1994"
P-07138,Bellini,Hilderaldo,1930-06-07,0,1,0,0,3,"1958, 1962, 1966"
P-02416,Bellugi,Mauro,1950-02-07,0,1,0,0,2,"1974, 1978"
P-00312,Benaglio,Diego,1983-09-08,1,0,0,0,3,"2006, 2010, 2014"
P-08612,Benetti,Romeo,1945-10-20,0,0,1,0,2,"1974, 1978"
P-04483,Bergomi,Giuseppe,1963-12-22,0,1,0,0,4,"1982, 1986, 1990, 1998"
P-07393,Berthold,Thomas,1964-11-12,0,1,0,0,3,"1986, 1990, 1994"
P-02105,Beschastnykh,Vladimir,1974-04-01,0,0,0,1,2,"1994, 2002"
P-07388,Beto,not applicable,1982-05-01,1,0,0,0,3,"2010, 2014, 2018"
P-02703,Bezsonov,Volodymyr,1958-03-05,0,1,1,0,3,"1982, 1986, 1990"
P-01417,Bickel,Alfred,1918-05-02,0,0,0,1,2,"1938, 1950"
P-00729,Blanco,Cuauhtémoc,1973-01-17,0,0,0,1,3,"1998, 2002, 2010"
P-00766,Boateng,Jérôme,1988-09-03,0,1,0,0,3,"2010, 2014, 2018"
P-04917,Bobek,Stjepan,1923-12-03,0,0,1,1,2,"1950, 1954"
P-00160,Bocquet,Roger,1921-04-09,0,1,1,0,2,"1950, 1954"
P-06749,Boffin,Danny,1965-07-10,0,0,1,0,3,"1994, 1998, 2002"
P-03593,Boka,Arthur,1983-04-02,0,1,0,0,3,"2006, 2010, 2014"
P-02309,Bokšić,Alen,1970-01-21,0,0,0,1,2,"1990, 2002"
P-09965,Bolaños,Christian,1984-05-17,0,0,1,0,3,"2006, 2014, 2018"
P-05940,Bonet,Carlos,1977-10-02,0,1,1,0,3,"2002, 2006, 2010"
P-08638,Bonetti,Peter,1941-09-27,1,0,0,0,2,"1966, 1970"
P-02078,Bonev,Hristo,1947-02-03,0,0,0,1,2,"1970, 1974"
P-05466,Bonhof,Rainer,1952-03-29,0,0,1,0,2,"1974, 1978"
P-05351,Boniek,Zbigniew,1956-03-03,0,0,1,1,3,"1978, 1982, 1986"
P-08646,Boninsegna,Roberto,1943-11-13,0,0,0,1,2,"1970, 1974"
P-09693,Boniperti,Giampiero,1928-07-04,0,0,0,1,2,"1950, 1954"
P-08563,Borja,Enrique,1945-12-30,0,0,0,1,2,"1966, 1970"
P-05135,Bossis,Maxime,1955-06-26,0,1,0,0,3,"1978, 1982, 1986"
P-04744,Bouazizi,Riadh,1973-04-08,0,0,1,0,3,"1998, 2002, 2006"
P-04322,Boumnijel,Ali,1966-04-13,1,0,0,0,3,"1998, 2002, 2006"
P-02338,Branco,not applicable,1964-04-04,0,1,0,0,3,"1986, 1990, 1994"
P-07217,Brehme,Andreas,1960-11-09,0,1,0,0,3,"1986, 1990, 1994"
P-02216,Breitner,Paul,1951-09-05,0,1,0,0,2,"1974, 1982"
P-08995,Bresciano,Mark,1980-02-11,0,0,1,0,3,"2006, 2010, 2014"
P-09985,Brito,not applicable,1939-08-09,0,1,0,0,2,"1966, 1970"
