team_id,team_name,team_code,federation_name,region_name,confederation_id,confederation_name,confederation_code
T-01,Algeria,DZA,Algerian Football Federation,Africa,CF-2,Confederation of African Football,CAF
T-02,Angola,AGO,Angolan Football Federation,Africa,CF-2,Confederation of African Football,CAF
T-03,Argentina,ARG,Argentine Football Association,South America,CF-4,South American Football Confederation,CONMEBOL
T-04,Australia,AUS,Football Australia,Oceania,CF-1,Asian Football Confederation,AFC
T-05,Austria,AUT,Austrian Football Association,Europe,CF-6,Union of European Football Associations,UEFA
T-06,Belgium,BEL,Royal Belgian Football Association,Europe,CF-6,Union of European Football Associations,UEFA
T-07,Bolivia,BOL,Bolivian Football Federation,South America,CF-4,South American Football Confederation,CONMEBOL
T-08,Bosnia and Herzegovina,BIH,Football Association of Bosnia and Herzegovina,Europe,CF-6,Union of European Football Associations,UEFA
T-09,Brazil,BRA,Brazilian Football Confederation,South America,CF-4,South American Football Confederation,CONMEBOL
T-10,Bulgaria,BGR,Bulgarian Football Union,Europe,CF-6,Union of European Football Associations,UEFA
T-11,Cameroon,CMR,Cameroonian Football Federation,Africa,CF-2,Confederation of African Football,CAF
T-12,Canada,CAN,Canadian Soccer Association,North America,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF
T-13,Chile,CHL,Football Federation of Chile,South America,CF-4,South American Football Confederation,CONMEBOL
T-14,China,CHN,Chinese Football Association,East Asia,CF-1,Asian Football Confederation,AFC
T-15,Colombia,COL,Colombia Football Federation,South America,CF-4,South American Football Confederation,CONMEBOL
T-16,Costa Rica,CRI,Costa Rican Football Federation,Central America,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF
T-17,Croatia,HRV,Croatian Football Federation,Europe,CF-6,Union of European Football Associations,UEFA
T-18,Cuba,CUB,Football Association of Cuba,Caribbean,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF
T-19,Czech Republic,CZE,Football Association of the Czech Republic,Europe,CF-6,Union of European Football Associations,UEFA
T-20,Czechoslovakia,CSK,Football Association of the Czechoslovakia,Europe,CF-6,Union of European Football Associations,UEFA
